ID,第1階層,第2階層,第3階層,第4階層,第5階層,第6階層,第7階層,第8階層,第9階層,第10階層,作業名,よみ,|表記|,英名,多義的概念,組合せで作業,目的(ja),目的(en),行為(ja),行為(en),対象(ja),対象(en),副対象(ja),副対象(en),場所(ja),場所(en),手段(ja),手段(en),機資材(ja),機資材(en),生産対象(ja),生産対象(en),時期(ja),時期(en),作業条件(ja),作業条件(en),agrovoc,naropedia,wikipedia
A29,農作業,基本農作業,作物生産作業,作物生育制御作業,繁殖制御作業,栄養繁殖作業,接ぎ木,割り接ぎ,,,割り接ぎ,わりつぎ,|割接ぎ;わりつぎ|,Cleft grafting,,,栄養繁殖,vegetative propagation,接ぐ,graft,接ぎ穂,scion,台木,rootstock,,,接合,connection,クリップ,clip,トマト|ナス|果樹,,,,維管束|上胚軸上,,,,
A30,農作業,基本農作業,作物生産作業,作物生育制御作業,繁殖制御作業,栄養繁殖作業,接ぎ木,挿し接ぎ,,,挿し接ぎ,さしつぎ,|挿接ぎ;さしつぎ|,Insertion grafting,,,栄養繁殖,vegetative propagation,接ぐ,graft,接ぎ穂,scion,台木,rootstock,,,挿入,insertion,,,スイカ|キュウリ|メロン|トマト|ナス|ピーマン,,,,上胚軸上,,,,
A31,農作業,基本農作業,作物生産作業,作物生育制御作業,繁殖制御作業,栄養繁殖作業,接ぎ木,挿し接ぎ,断根挿し接ぎ,,断根挿し接ぎ,だんこんさしつぎ,|断根挿接ぎ;だんこんさしつぎ|,Insertion grafting followed by rootstock cutting,,,栄養繁殖,vegetative propagation,接ぐ,graft,接ぎ穂,scion,断根台木,root pruned stock,,,挿入,insertion,,,スイカ|キュウリ|メロン|トマト|ナス|ピーマン,,,,上胚軸上,,,,
A32,農作業,基本農作業,作物生産作業,作物生育制御作業,繁殖制御作業,栄養繁殖作業,接ぎ木,高接ぎ,,,高接ぎ,たかつぎ,,Top grafting,,,栄養繁殖,vegetative propagation,接ぐ,graft,枝,branch,台木,rootstock,,,,,,,果樹,fruit trees,,,地際より高い位置,,,,
A33,農作業,基本農作業,作物生産作業,作物生育制御作業,繁殖制御作業,栄養繁殖作業,接ぎ木,芽接ぎ,,,芽接ぎ,めつぎ,,Bud grafting,,,栄養繁殖,vegetative propagation,接ぐ,graft,芽,bud,台木,rootstock,,,,,,,果樹,fruit trees,,,,,,,
A34,農作業,基本農作業,作物生産作業,作物生育制御作業,繁殖制御作業,栄養繁殖作業,取り木,,,,取り木,とりき,,Layering,,苗木生産,栄養繁殖,vegetative propagation,切り離す,cut off,発根した枝,rooted branch,,,,,,,,,,,,,,,c_4233,,取り木
A35,農作業,基本農作業,作物生産作業,作物生育制御作業,繁殖制御作業,栄養繁殖作業,株分け,,,,株分け,かぶわけ,,Division,,,栄養繁殖,vegetative propagation,分ける,divide,球根|分枝|芽|種芋,,,,,,,,,,,,,,,,c_7490,http://lib.ruralnet.or.jp/nrpd/#box_search=%E6%A0%AA%E5%88%86%E3%81%91&kensuu=10&sort=0&logic=1&page=0&bunya=&koumoku=10951&db=&uid=0,株分け
A36,農作業,基本農作業,作物生産作業,作物生育制御作業,繁殖制御作業,栄養繁殖作業,株分け,芋切り,,,芋切り,いもきり,,Cutting the tubers into small pieces,,,栄養繁殖,vegetative propagation,分ける,divide,種芋,seed tuber,,,,,,,,,,,,,,,,,
A37,農作業,基本農作業,作物生産作業,作物生育制御作業,繁殖制御作業,栄養繁殖作業,株分け,分球,,,分球,ぶんきゅう,,Bulb-separation,,,栄養繁殖,vegetative propagation,分ける,divide,球根,bulb,,,,,,,,,,,,,,,,,
A38,農作業,基本農作業,作物生産作業,作物生育制御作業,繁殖制御作業,栄養繁殖作業,伏せ込み,,,,伏せ込み,ふせこみ,,Laying-in,,,栄養繁殖,vegetative propagation,埋める,bury,栄養器官,vegetative organ,,,,,,,,,,,,,,,,,
